-! 07/11/15 10:23:10.936 ../bin/sickLaser: warning: invalid config file entry: "This property is used by the clients to connect to IceStorm."
-! 07/11/15 10:23:10.938 ../bin/sickLaser: warning: invalid config file entry: "This property is used by the clients to connect to IceStorm."
	*** Attempting to initialize the Sick LD...
	Attempting to connect to Sick LD @ 192.168.187.204:49152
		Connected to Sick LD!
	Attempting to start buffer monitor...
		Buffer monitor started!
	Attempting to sync driver with Sick LD...
		Synchronized!
	*** Init. complete: Sick LD is online and ready!
	Num. Active Sectors: 1
	Motor Speed: 10 (Hz)
	Scan Resolution: 1 (deg)

	Attempting to set desired scan config...
		Using desired scan area(s)!
	=========== Sick Sector Config ===========
	Num. Active Sectors: 1
	Num. Initialized Sectors: 1
	Sector Configs.:
		0 [0,359] (MEASURING)
	==========================================
	Requesting RANGE ONLY data stream from Sick LD...
		Data stream started!
valor165 es 54.6875
valor166 es 35.1562
valor167 es 82.0312
valor168 es 54.6875
valor169 es 27.3438
valor170 es 27.3438
valor171 es 58.5938
valor172 es 82.0312
valor173 es 58.5938
valor174 es 46.875
valor175 es 31.25
valor176 es 35.1562
valor177 es 46.875
valor178 es 27.3438
valor179 es 46.875
valor180 es 85.9375
valor181 es 78.125
valor182 es 78.125
valor183 es 70.3125
valor184 es 35.1562
valor185 es 27.3438
valor186 es 42.9688
valor187 es 42.9688
valor188 es 23.4375
valor189 es 66.4062
valor190 es 58.5938
valor191 es 58.5938
valor192 es 62.5
valor193 es 66.4062
valor194 es 78.125
valor195 es 46.875
valor196 es 35.1562
valor197 es 35.1562
valor198 es 66.4062
valor199 es 27.3438
valor200 es 42.9688
valor201 es 50.7812
valor202 es 42.9688
valor203 es 50.7812
valor204 es 35.1562
valor205 es 46.875
valor206 es 46.875
valor207 es 23.4375
valor208 es 78.125
valor209 es 42.9688
valor210 es 58.5938
valor211 es 46.875
valor212 es 50.7812
valor213 es 62.5
valor214 es 31.25
valor215 es 42.9688
valor216 es 74.2188
valor217 es 66.4062
valor218 es 42.9688
valor219 es 46.875
valor220 es 50.7812
valor221 es 54.6875
valor222 es 42.9688
valor223 es 78.125
valor224 es 500
valor225 es 492.188
valor226 es 488.281
valor227 es 476.562
valor228 es 492.188
valor229 es 500
valor230 es 496.094
valor231 es 472.656
valor232 es 460.938
valor233 es 496.094
valor234 es 464.844
valor235 es 503.906
valor236 es 480.469
valor237 es 531.25
valor238 es 488.281
valor239 es 492.188
valor240 es 527.344
valor241 es 500
valor242 es 511.719
valor243 es 480.469
valor244 es 492.188
valor245 es 496.094
valor246 es 488.281
valor247 es 468.75
valor248 es 464.844
valor249 es 503.906
valor250 es 488.281
valor251 es 460.938
valor252 es 480.469
valor253 es 492.188
valor254 es 511.719
valor255 es 515.625
valor256 es 496.094
valor257 es 496.094
valor258 es 500
valor259 es 500
valor260 es 515.625
valor261 es 488.281
valor262 es 480.469
valor263 es 496.094
valor264 es 488.281
valor265 es 484.375
valor266 es 484.375
valor267 es 476.562
valor268 es 496.094
valor269 es 488.281
valor270 es 472.656
valor271 es 511.719
valor272 es 480.469
valor273 es 492.188
valor274 es 445.312
valor275 es 496.094
valor276 es 488.281
valor277 es 476.562
valor278 es 496.094
valor279 es 476.562
valor280 es 445.312
valor281 es 503.906
valor282 es 496.094
valor283 es 488.281
valor284 es 507.812
valor285 es 480.469
valor286 es 507.812
valor287 es 523.438
valor288 es 535.156
valor289 es 496.094
valor290 es 453.125
valor291 es 468.75
valor292 es 480.469
valor293 es 472.656
valor294 es 476.562
valor295 es 468.75
valor296 es 492.188
valor297 es 484.375
valor298 es 484.375
valor299 es 488.281
valor300 es 457.031
valor301 es 488.281
valor302 es 484.375
valor303 es 476.562
valor304 es 507.812
valor305 es 484.375
valor306 es 484.375
valor307 es 476.562
valor308 es 484.375
valor309 es 460.938
valor310 es 472.656
valor311 es 472.656
valor312 es 500
valor313 es 488.281
valor314 es 476.562
valor315 es 496.094
valor316 es 457.031
valor317 es 492.188
valor318 es 449.219
valor319 es 500
valor320 es 50.7812
valor321 es 74.2188
valor322 es 58.5938
valor323 es 488.281
valor324 es 500
valor325 es 484.375
valor326 es 476.562
valor327 es 500
valor328 es 488.281
valor329 es 464.844
valor330 es 480.469
valor331 es 437.5
valor332 es 453.125
valor333 es 472.656
valor334 es 445.312
valor335 es 472.656
valor336 es 457.031
valor337 es 468.75
valor338 es 464.844
valor339 es 488.281
valor340 es 476.562
valor341 es 464.844
valor342 es 464.844
valor343 es 488.281
valor344 es 464.844
valor345 es 468.75
valor346 es 457.031
valor347 es 437.5
valor348 es 464.844
valor349 es 480.469
valor350 es 472.656
valor351 es 472.656
valor352 es 464.844
valor353 es 445.312
valor354 es 472.656
valor355 es 441.406
valor356 es 449.219
valor357 es 464.844
valor358 es 453.125
valor359 es 476.562
valor0 es 433.594
valor1 es 460.938
valor2 es 484.375
valor3 es 445.312
valor4 es 476.562
valor5 es 464.844
valor6 es 476.562
valor7 es 460.938
valor8 es 464.844
valor9 es 468.75
valor10 es 488.281
valor11 es 480.469
valor12 es 449.219
valor13 es 464.844
valor14 es 519.531
valor15 es 460.938
valor16 es 457.031
valor17 es 476.562
valor18 es 457.031
valor19 es 453.125
valor20 es 496.094
valor21 es 449.219
valor22 es 472.656
valor23 es 460.938
valor24 es 457.031
valor25 es 453.125
valor26 es 425.781
valor27 es 449.219
valor28 es 445.312
valor29 es 433.594
valor30 es 449.219
valor31 es 472.656
valor32 es 433.594
valor33 es 468.75
valor34 es 449.219
valor35 es 468.75
valor36 es 429.688
valor37 es 433.594
valor38 es 433.594
valor39 es 464.844
valor40 es 441.406
valor41 es 429.688
valor42 es 480.469
valor43 es 445.312
valor44 es 425.781
valor45 es 457.031
valor46 es 449.219
valor47 es 460.938
valor48 es 453.125
valor49 es 457.031
valor50 es 449.219
valor51 es 484.375
valor52 es 445.312
valor53 es 437.5
valor54 es 484.375
valor55 es 472.656
valor56 es 472.656
valor57 es 464.844
valor58 es 449.219
valor59 es 488.281
valor60 es 460.938
valor61 es 500
valor62 es 460.938
valor63 es 42.9688
valor64 es 62.5
valor65 es 46.875
valor66 es 46.875
valor67 es 46.875
valor68 es 46.875
valor69 es 50.7812
valor70 es 54.6875
valor71 es 39.0625
valor72 es 46.875
valor73 es 66.4062
valor74 es 58.5938
valor75 es 66.4062
valor76 es 23.4375
valor77 es 50.7812
valor78 es 50.7812
valor79 es 46.875
valor80 es 58.5938
valor81 es 62.5
valor82 es 50.7812
valor83 es 50.7812
valor84 es 46.875
valor85 es 31.25
valor86 es 27.3438
valor87 es 27.3438
